name,website,location,region,employee_size,industries,keywords,size_bucket,sub_sector
Mastercard Payment Gateway Services,Unknown,"London, United Kingdom",UK,54.0,Information Technology & Services,pci dss compliance,Small (20‑99),General Gateway
Easy Payment Gateway,http://www.easypaymentgateway.com/,"Mijas, Spain",Europe,19.0,Financial Services,,Micro (1‑19),General Gateway
Payment Gateway,http://www.paygatewayonline.com/,"London, United Kingdom",UK,47.0,Financial Services,epos finance,Small (20‑99),POS Solutions
BazPAY - Payment Gateway,http://www.bazpay.com/,"London, United Kingdom",UK,3.0,Financial Services,charity; blockchain,Micro (1‑19),Crypto / Digital Assets
B2B Payment Gateway,http://www.processingb2b.com/,"Boston, Massachusetts",Americas,1.0,Financial Services,,Micro (1‑19),General Gateway
Payment Gateway,Unknown,"Berlin, Germany",Europe,17.0,Capital Markets,,Micro (1‑19),General Gateway
WBD Client's Payment Gateway,Unknown,"Mount Vernon, New York",Americas,34.0,Financial Services,paypal payment system,Small (20‑99),General Gateway
Flash • The Bitcoin Payment Gateway,http://www.paywithflash.com/,"Newark, Delaware",Americas,3.0,Financial Services,bitcoin payments,Micro (1‑19),Crypto / Digital Assets
Onchainpay.io - powerfull cryptocurrency payment gateway.,http://www.onchainpay.io/,"Vilnius, Lithuania",Europe,3.0,Financial Services,crypto,Micro (1‑19),Crypto / Digital Assets
Woocommerce Payment Gateway Plugins,Unknown,"Fremont, California",Americas,500.0,Information Technology & Services,,Large (500‑1999),General Gateway
Merchant eCheck Payment Gateway,http://www.1stprocess.com/,"Las Vegas, Nevada",Americas,50.0,Financial Services,architectural solutions,Small (20‑99),Developer‑friendly APIs
Cpos Payment Gateway,http://www.cpos.cloud/,"Dover, Delaware",Americas,3.0,Information Technology & Services,iot; cryptocurrency,Micro (1‑19),Crypto / Digital Assets
"Cashila, Bitcoin Payment Gateway",http://www.cashila.com/,"Brno, Czechia",Europe,2.0,Financial Services,payment systems,Micro (1‑19),General Gateway
White Label Payment Gateway,Unknown,"Vilnius, Lithuania",Europe,3.0,Financial Services,,Micro (1‑19),General Gateway
"Tenerum Payment Gateway, LLC",http://www.tenerum.com/,"Saint Petersburg, Florida",Americas,15.0,Management Consulting,,Micro (1‑19),General Gateway
Nimera — Crypto Payment Gateway,http://www.nimera.io/,"Warszawa, Poland",Europe,2.0,Financial Services,lightning network,Micro (1‑19),Crypto / Digital Assets
Forex Merchant Account. Payment Service Provider. Online Payment Gateway. IAGACO,Unknown,"Limassol, Cyprus",Europe,5.0,Financial Services,psp,Micro (1‑19),General Gateway
T.E Payment Gateway,http://www.tepgateway.com/,"Seal Beach, California",Americas,1.0,Banking,crypto currency,Micro (1‑19),Crypto / Digital Assets
Zapp Payment Gateway,Unknown,"Tempe, Arizona",Americas,3.0,Financial Services,,Micro (1‑19),General Gateway
StripePros - Payment Gateway Integration Services,http://www.stripepros.com/,"Santa Clara, California",Americas,1.0,Information Technology & Services,stripe developer,Micro (1‑19),Developer‑friendly APIs
PAYMENT GATEWAY SOLUTIONS LIMITED,Unknown,"England, United Kingdom",UK,2.0,Information Technology & Services,,Micro (1‑19),General Gateway
"B1 payment gateway, Malta",http://www.b1gate.com/,"Montana, US",Americas,1.0,Banking,easy payment solutions,Micro (1‑19),General Gateway
KDS CardPay- Payment Gateway for Tech Support,http://www.kdscardpay.com/,"Ontario, California",Americas,200.0,Financial Services,payment through master,Mid (100‑499),General Gateway
Pay | Omni-Channel | eCommerce | Payment Gateway | Data Security | Analytics | ERP & CRM Integration,Unknown,"Detroit, Michigan",Americas,2.0,Financial Services,,Micro (1‑19),General Gateway
